SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location,Latitude,Longitude
1,pH,,,2024,7.5,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.305502,76.62738
2,COD,mg/l,,2024,99,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.305502,76.62738
3,BOD,mg/l,,2024,31,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.305502,76.62738
4,TSS,mg/l,,2024,109,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.305502,76.62738
5,TDS,mg/l,,2024,476,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
6,Conductivity,mg/l,,2024,1030,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
7,Chloride,mg/l,,2024,87,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
8,Phosphate-P,mg/l,,2024,2.6,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
9,NO2-N,mg/l,,2024,0,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
10,NO3-N,mg/l,,2024,0,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
11,NH3-N,mg/l,,2024,22,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
12,SO4,mg/l,,2024,46,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
13,Colour,CU,,2024,0,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
14,TKN,mg/l,,2024,26,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
15,T-Coliform,MPN/100 ml,,2024,33x10^6,Green tribunal,NCP05 - River Ghaggar D/S of N-choe,30.315357,76.628347
