SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location,Latitude,Longitude
1,pH,-,Nov,2024,9.3,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
2,pH,-,Dec,2024,7.9,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
3,pH,-,Jan,2025,8.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
4,TDS,mg/l,Nov,2024,164.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
5,TDS,mg/l,Dec,2024,349.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
6,TDS,mg/l,Jan,2025,324.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
7,Conductivity,µs/cm,Nov,2024,324.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
8,Conductivity,µs/cm,Dec,2024,693.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
9,Conductivity,µs/cm,Jan,2025,653.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
10,Temperature,°C,Nov,2024,26.7,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
11,Temperature,°C,Dec,2024,20.7,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
12,Temperature,°C,Jan,2025,17.3,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
13,TSS,mg/l,Nov,2024,295.00000000000523,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
14,TSS,mg/l,Dec,2024,19.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
15,TSS,mg/l,Jan,2025,114.99999999999844,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
16,VSS,mg/l,Nov,2024,275.5000000000152,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
17,VSS,mg/l,Dec,2024,13.500000000004066,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
18,VSS,mg/l,Jan,2025,95.0000000000095,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
19,Fixed Suspended Solids,mg/l,Nov,2024,19.49999999999008,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
20,Fixed Suspended Solids,mg/l,Dec,2024,5.000000000006111,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
21,Fixed Suspended Solids,mg/l,Jan,2025,19.99999999998892,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
22,COD,mg/l,Nov,2024,92.00000000000011,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
23,COD,mg/l,Dec,2024,39.99999999999993,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
24,COD,mg/l,Jan,2025,24.00000000000001,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
25,BOD,mg/l,Nov,2024,6.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
26,BOD,mg/l,Dec,2024,11.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
27,BOD,mg/l,Jan,2025,22.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
28,NO3-N,mg/l,Nov,2024,0.45,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
29,NO3-N,mg/l,Dec,2024,4.0,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
30,NO3-N,mg/l,Jan,2025,1.0289421280323667,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
31,Phosphate,mg/l,Nov,2024,0.2010706003476145,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
32,Phosphate,mg/l,Dec,2024,1.2209707627956417,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
33,Phosphate,mg/l,Jan,2025,0.6438532118239465,professor,Attawa Choa Sec. 67 (Mohali),30.678158,76.729844
