SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
1,pH,-,Jan,6.6,CPCB 2018,2018,Sector 83,30.658143,76.724407
2,Conductivity,µs/cm,Jan,644,CPCB 2018,2018,Sector 83,30.658143,76.724407
3,DO,mg/l,Jan,,CPCB 2018,2018,Sector 83,30.658143,76.724407
4,COD,mg/l,Jan,261,CPCB 2018,2018,Sector 83,30.658143,76.724407
5,BOD,mg/l,Jan,161,CPCB 2018,2018,Sector 83,30.658143,76.724407
6,NO3-N,mg/l,Jan,5.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
7,NH3-N,mg/l,Jan,23,CPCB 2018,2018,Sector 83,30.658143,76.724407
8,Phosphate,mg/l,Jan,2.55,CPCB 2018,2018,Sector 83,30.658143,76.724407
9,TSS,mg/l,Jan,100,CPCB 2018,2018,Sector 83,30.658143,76.724407
10,TDS,mg/l,Jan,326,CPCB 2018,2018,Sector 83,30.658143,76.724407
11,FS,mg/l,Jan,267,CPCB 2018,2018,Sector 83,30.658143,76.724407
12,Turbidity,NTU,Jan,110,CPCB 2018,2018,Sector 83,30.658143,76.724407
13,TH as CaCO3,mg/l,Jan,190,CPCB 2018,2018,Sector 83,30.658143,76.724407
14,Ca as CaCO3,mg/l,Jan,118,CPCB 2018,2018,Sector 83,30.658143,76.724407
15,Mg as CaCO3,mg/l,Jan,72,CPCB 2018,2018,Sector 83,30.658143,76.724407
16,Sulphate,mg/l,Jan,66,CPCB 2018,2018,Sector 83,30.658143,76.724407
17,Chloride,mg/l,Jan,42,CPCB 2018,2018,Sector 83,30.658143,76.724407
18,Total alkalinity as CaCO3,mg/l,Jan,260,CPCB 2018,2018,Sector 83,30.658143,76.724407
19,P-Alkalinity,mg/l,Jan,,CPCB 2018,2018,Sector 83,30.658143,76.724407
20,Fluoride,mg/l,Jan,0.28,CPCB 2018,2018,Sector 83,30.658143,76.724407
21,Colour,Hazen,Jan,30,CPCB 2018,2018,Sector 83,30.658143,76.724407
22,Boron(B),mg/l,Jan,0.19,CPCB 2018,2018,Sector 83,30.658143,76.724407
23,TKN,mg/l,Jan,4.2,CPCB 2018,2018,Sector 83,30.658143,76.724407
24,Potassium,mg/l,Jan,7,CPCB 2018,2018,Sector 83,30.658143,76.724407
25,Sodium,mg/l,Jan,23,CPCB 2018,2018,Sector 83,30.658143,76.724407
26,Total Coliform,MPN/100ml,Jan,,CPCB 2018,2018,Sector 83,30.658143,76.724407
27,Faecal Coliform,MPN/100ml,Jan,,CPCB 2018,2018,Sector 83,30.658143,76.724407
28,pH,-,Feb,6.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
29,Conductivity,µs/cm,Feb,551,CPCB 2018,2018,Sector 83,30.658143,76.724407
30,DO,mg/l,Feb,0.6,CPCB 2018,2018,Sector 83,30.658143,76.724407
31,COD,mg/l,Feb,261,CPCB 2018,2018,Sector 83,30.658143,76.724407
32,BOD,mg/l,Feb,117,CPCB 2018,2018,Sector 83,30.658143,76.724407
33,NO3-N,mg/l,Feb,,CPCB 2018,2018,Sector 83,30.658143,76.724407
34,NH3-N,mg/l,Feb,17,CPCB 2018,2018,Sector 83,30.658143,76.724407
35,Phosphate,mg/l,Feb,2.05,CPCB 2018,2018,Sector 83,30.658143,76.724407
36,TSS,mg/l,Feb,149,CPCB 2018,2018,Sector 83,30.658143,76.724407
37,TDS,mg/l,Feb,259,CPCB 2018,2018,Sector 83,30.658143,76.724407
38,FS,mg/l,Feb,269,CPCB 2018,2018,Sector 83,30.658143,76.724407
39,Turbidity,NTU,Feb,160,CPCB 2018,2018,Sector 83,30.658143,76.724407
40,TH as CaCO3,mg/l,Feb,206,CPCB 2018,2018,Sector 83,30.658143,76.724407
41,Ca as CaCO3,mg/l,Feb,100,CPCB 2018,2018,Sector 83,30.658143,76.724407
42,Mg as CaCO3,mg/l,Feb,106,CPCB 2018,2018,Sector 83,30.658143,76.724407
43,Sulphate,mg/l,Feb,72,CPCB 2018,2018,Sector 83,30.658143,76.724407
44,Chloride,mg/l,Feb,45,CPCB 2018,2018,Sector 83,30.658143,76.724407
45,Total alkalinity as CaCO3,mg/l,Feb,208,CPCB 2018,2018,Sector 83,30.658143,76.724407
46,P-Alkalinity,mg/l,Feb,,CPCB 2018,2018,Sector 83,30.658143,76.724407
