SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
1,pH,-,Jan,2018,6.5,CPCB,30.6921376,76.7361159
2,Conductivity,µs/cm,Jan,2018,,CPCB,30.6921376,76.7361159
3,DO,mg/l,Jan,2018,0.0,CPCB,30.6921376,76.7361159
4,COD,mg/l,Jan,2018,100.0,CPCB,30.6921376,76.7361159
5,BOD,mg/l,Jan,2018,33.0,CPCB,30.6921376,76.7361159
6,NO3-N,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
7,NH3-N,mg/l,Jan,2018,3.0,CPCB,30.6921376,76.7361159
8,Phosphate,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
9,TSS,mg/l,Jan,2018,52.0,CPCB,30.6921376,76.7361159
10,TDS,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
11,FS,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
12,Turbidity,NTU,Jan,2018,,CPCB,30.6921376,76.7361159
13,TH as CaCO3,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
14,Ca as CaCO3,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
15,Mg as CaCO3,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
16,Sulphate,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
17,Chloride,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
18,Total alkalinity as CaCO3,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
19,P-Alkalinity,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
20,Fluoride,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
21,Colour,Hazen,Jan,2018,,CPCB,30.6921376,76.7361159
22,Boron(B),mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
23,TKN,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
24,Potassium,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
25,Sodium,mg/l,Jan,2018,,CPCB,30.6921376,76.7361159
26,Total Coliform,MPN/100ml,Jan,2018,3.8E+4,CPCB,30.6921376,76.7361159
