SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
1,pH,-,Jan,2018,6.5,CPCB,30.6762491,76.7282489
2,Conductivity,µs/cm,Jan,2018,,CPCB,30.6762491,76.7282489
3,DO,mg/l,Jan,2018,0.0,CPCB,30.6762491,76.7282489
4,COD,mg/l,Jan,2018,198.0,CPCB,30.6762491,76.7282489
5,BOD,mg/l,Jan,2018,79.0,CPCB,30.6762491,76.7282489
6,NO3-N,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
7,NH3-N,mg/l,Jan,2018,20.0,CPCB,30.6762491,76.7282489
8,Phosphate,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
9,TSS,mg/l,Jan,2018,84.0,CPCB,30.6762491,76.7282489
10,TDS,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
11,FS,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
12,Turbidity,NTU,Jan,2018,,CPCB,30.6762491,76.7282489
13,TH as CaCO3,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
14,Ca as CaCO3,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
15,Mg as CaCO3,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
16,Sulphate,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
17,Chloride,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
18,Total alkalinity as CaCO3,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
19,P-Alkalinity,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
20,Fluoride,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
21,Colour,Hazen,Jan,2018,,CPCB,30.6762491,76.7282489
22,Boron(B),mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
23,TKN,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
24,Potassium,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
25,Sodium,mg/l,Jan,2018,,CPCB,30.6762491,76.7282489
26,Total Coliform,MPN/100ml,Jan,2018,9.3E+4,CPCB,30.6762491,76.7282489
27,Faecal Coliform,MPN/100ml,Jan,2018,6.1E+4,CPCB,30.6762491,76.7282489
28,pH,-,Feb,2018,7.0,CPCB,30.6762491,76.7282489
29,Conductivity,µs/cm,Feb,2018,,CPCB,30.6762491,76.7282489
30,DO,mg/l,Feb,2018,3.9,CPCB,30.6762491,76.7282489
31,COD,mg/l,Feb,2018,198.0,CPCB,30.6762491,76.7282489
32,BOD,mg/l,Feb,2018,96.0,CPCB,30.6762491,76.7282489
33,NO3-N,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
34,NH3-N,mg/l,Feb,2018,26.0,CPCB,30.6762491,76.7282489
35,Phosphate,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
36,TSS,mg/l,Feb,2018,72.0,CPCB,30.6762491,76.7282489
37,TDS,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
38,FS,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
39,Turbidity,NTU,Feb,2018,,CPCB,30.6762491,76.7282489
40,TH as CaCO3,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
41,Ca as CaCO3,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
42,Mg as CaCO3,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
43,Sulphate,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
44,Chloride,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
45,Total alkalinity as CaCO3,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
46,P-Alkalinity,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
47,Fluoride,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
48,Colour,Hazen,Feb,2018,,CPCB,30.6762491,76.7282489
49,Boron(B),mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
50,TKN,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
51,Potassium,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
52,Sodium,mg/l,Feb,2018,,CPCB,30.6762491,76.7282489
53,Total Coliform,MPN/100ml,Feb,2018,930.0,CPCB,30.6762491,76.7282489
54,Faecal Coliform,MPN/100ml,Feb,2018,610.0,CPCB,30.6762491,76.7282489
55,pH,-,March,2018,7.2,CPCB,30.6762491,76.7282489
56,Conductivity,µs/cm,March,2018,,CPCB,30.6762491,76.7282489
57,DO,mg/l,March,2018,3.5,CPCB,30.6762491,76.7282489
58,COD,mg/l,March,2018,200.0,CPCB,30.6762491,76.7282489
59,BOD,mg/l,March,2018,47.0,CPCB,30.6762491,76.7282489
60,NO3-N,mg/l,March,2018,,CPCB,30.6762491,76.7282489
61,NH3-N,mg/l,March,2018,32.0,CPCB,30.6762491,76.7282489
62,Phosphate,mg/l,March,2018,,CPCB,30.6762491,76.7282489
63,TSS,mg/l,March,2018,73.0,CPCB,30.6762491,76.7282489
64,TDS,mg/l,March,2018,,CPCB,30.6762491,76.7282489
65,FS,mg/l,March,2018,,CPCB,30.6762491,76.7282489
66,Turbidity,NTU,March,2018,,CPCB,30.6762491,76.7282489
67,TH as CaCO3,mg/l,March,2018,,CPCB,30.6762491,76.7282489
68,Ca as CaCO3,mg/l,March,2018,,CPCB,30.6762491,76.7282489
69,Mg as CaCO3,mg/l,March,2018,,CPCB,30.6762491,76.7282489
70,Sulphate,mg/l,March,2018,,CPCB,30.6762491,76.7282489
71,Chloride,mg/l,March,2018,,CPCB,30.6762491,76.7282489
72,Total alkalinity as CaCO3,mg/l,March,2018,,CPCB,30.6762491,76.7282489
73,P-Alkalinity,mg/l,March,2018,,CPCB,30.6762491,76.7282489
74,Fluoride,mg/l,March,2018,,CPCB,30.6762491,76.7282489
75,Colour,Hazen,March,2018,,CPCB,30.6762491,76.7282489
76,Boron(B),mg/l,March,2018,,CPCB,30.6762491,76.7282489
77,TKN,mg/l,March,2018,,CPCB,30.6762491,76.7282489
78,Potassium,mg/l,March,2018,,CPCB,30.6762491,76.7282489
79,Sodium,mg/l,March,2018,,CPCB,30.6762491,76.7282489
80,Total Coliform,MPN/100ml,March,2018,1.4E+4,CPCB,30.6762491,76.7282489
81,Faecal Coliform,MPN/100ml,March,2018,1.1E+4,CPCB,30.6762491,76.7282489
82,pH,-,April,2018,7.1,CPCB,30.6762491,76.7282489
83,Conductivity,µs/cm,April,2018,,CPCB,30.6762491,76.7282489
84,DO,mg/l,April,2018,3.3,CPCB,30.6762491,76.7282489
85,COD,mg/l,April,2018,187.0,CPCB,30.6762491,76.7282489
86,BOD,mg/l,April,2018,63.0,CPCB,30.6762491,76.7282489
87,NO3-N,mg/l,April,2018,,CPCB,30.6762491,76.7282489
88,NH3-N,mg/l,April,2018,25.0,CPCB,30.6762491,76.7282489
89,Phosphate,mg/l,April,2018,,CPCB,30.6762491,76.7282489
90,TSS,mg/l,April,2018,85.0,CPCB,30.6762491,76.7282489
91,TDS,mg/l,April,2018,,CPCB,30.6762491,76.7282489
92,FS,mg/l,April,2018,,CPCB,30.6762491,76.7282489
93,Turbidity,NTU,April,2018,,CPCB,30.6762491,76.7282489
94,TH as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
95,Ca as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
96,Mg as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
97,Sulphate,mg/l,April,2018,,CPCB,30.6762491,76.7282489
98,Chloride,mg/l,April,2018,,CPCB,30.6762491,76.7282489
99,Total alkalinity as CaCO3,mg/l,April,2018,,CPCB,30.6762491,76.7282489
100,P-Alkalinity,mg/l,April,2018,,CPCB,30.6762491,76.7282489
101,Fluoride,mg/l,April,2018,,CPCB,30.6762491,76.7282489
102,Colour,Hazen,April,2018,,CPCB,30.6762491,76.7282489
103,Boron(B),mg/l,April,2018,,CPCB,30.6762491,76.7282489
104,TKN,mg/l,April,2018,,CPCB,30.6762491,76.7282489
105,Potassium,mg/l,April,2018,,CPCB,30.6762491,76.7282489
106,Sodium,mg/l,April,2018,,CPCB,30.6762491,76.7282489
107,Total Coliform,MPN/100ml,April,2018,9600.0,CPCB,30.6762491,76.7282489
108,Faecal Coliform,MPN/100ml,April,2018,5400.0,CPCB,30.6762491,76.7282489
109,pH,-,May,2018,7.0,CPCB,30.6762491,76.7282489
110,Conductivity,µs/cm,May,2018,,CPCB,30.6762491,76.7282489
111,DO,mg/l,May,2018,2.9,CPCB,30.6762491,76.7282489
112,COD,mg/l,May,2018,130.0,CPCB,30.6762491,76.7282489
113,BOD,mg/l,May,2018,58.0,CPCB,30.6762491,76.7282489
114,NO3-N,mg/l,May,2018,,CPCB,30.6762491,76.7282489
115,NH3-N,mg/l,May,2018,32.0,CPCB,30.6762491,76.7282489
116,Phosphate,mg/l,May,2018,,CPCB,30.6762491,76.7282489
117,TSS,mg/l,May,2018,65.0,CPCB,30.6762491,76.7282489
118,TDS,mg/l,May,2018,,CPCB,30.6762491,76.7282489
119,FS,mg/l,May,2018,,CPCB,30.6762491,76.7282489
120,Turbidity,NTU,May,2018,,CPCB,30.6762491,76.7282489
121,TH as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
122,Ca as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
123,Mg as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
124,Sulphate,mg/l,May,2018,,CPCB,30.6762491,76.7282489
125,Chloride,mg/l,May,2018,,CPCB,30.6762491,76.7282489
126,Total alkalinity as CaCO3,mg/l,May,2018,,CPCB,30.6762491,76.7282489
127,P-Alkalinity,mg/l,May,2018,,CPCB,30.6762491,76.7282489
128,Fluoride,mg/l,May,2018,,CPCB,30.6762491,76.7282489
129,Colour,Hazen,May,2018,,CPCB,30.6762491,76.7282489
130,Boron(B),mg/l,May,2018,,CPCB,30.6762491,76.7282489
131,TKN,mg/l,May,2018,,CPCB,30.6762491,76.7282489
