SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
1,pH,-,Jan,2018,6.6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
2,Conductivity,µs/cm,Jan,2018,644.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
3,DO,mg/l,Jan,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
4,COD,mg/l,Jan,2018,261.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
5,BOD,mg/l,Jan,2018,161.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
6,NO3-N,mg/l,Jan,2018,5.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
7,NH3-N,mg/l,Jan,2018,23.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
8,Phosphate,mg/l,Jan,2018,2.55,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
9,TSS,mg/l,Jan,2018,100.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
10,TDS,mg/l,Jan,2018,326.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
11,FS,mg/l,Jan,2018,267.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
12,Turbidity,NTU,Jan,2018,110.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
13,TH as CaCO3,mg/l,Jan,2018,190.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
14,Ca as CaCO3,mg/l,Jan,2018,118.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
15,Mg as CaCO3,mg/l,Jan,2018,72.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
16,Sulphate,mg/l,Jan,2018,66.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
17,Chloride,mg/l,Jan,2018,42.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
18,Total alkalinity as CaCO3,mg/l,Jan,2018,260.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
19,P-Alkalinity,mg/l,Jan,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
20,Fluoride,mg/l,Jan,2018,0.28,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
21,Colour,Hazen,Jan,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
22,Boron(B),mg/l,Jan,2018,0.19,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
23,TKN,mg/l,Jan,2018,4.2,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
24,Potassium,mg/l,Jan,2018,7.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
25,Sodium,mg/l,Jan,2018,23.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
26,Total Coliform,MPN/100ml,Jan,2018,2.2E+4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
27,Faecal Coliform,MPN/100ml,Jan,2018,1.8E+4,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
28,pH,-,Feb,2018,6.9,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
29,Conductivity,µs/cm,Feb,2018,551.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
30,DO,mg/l,Feb,2018,0.6,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
31,COD,mg/l,Feb,2018,261.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
32,BOD,mg/l,Feb,2018,117.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
33,NO3-N,mg/l,Feb,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
34,NH3-N,mg/l,Feb,2018,17.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
35,Phosphate,mg/l,Feb,2018,2.05,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
36,TSS,mg/l,Feb,2018,149.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
37,TDS,mg/l,Feb,2018,259.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
38,FS,mg/l,Feb,2018,269.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
39,Turbidity,NTU,Feb,2018,160.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
40,TH as CaCO3,mg/l,Feb,2018,206.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
41,Ca as CaCO3,mg/l,Feb,2018,100.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
42,Mg as CaCO3,mg/l,Feb,2018,106.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
43,Sulphate,mg/l,Feb,2018,72.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
44,Chloride,mg/l,Feb,2018,45.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
45,Total alkalinity as CaCO3,mg/l,Feb,2018,208.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
46,P-Alkalinity,mg/l,Feb,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
47,Fluoride,mg/l,Feb,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
48,Colour,Hazen,Feb,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
